username;password;nombre;apellido;email;telefono;rol
jgarcia88;Pass_7412;Juan;Garcia;jgarcia88@email.com;34600000001;ADMIN
mrodriguez;Sec_8523;Maria;Rodriguez;mrodriguez@email.com;;PROFESOR
p_lopez;Uni_9630;Pedro;Lopez;p_lopez@email.com;34600000003;ESTUDIANTE
smartinez;Est_1470;Sonia;Martinez;smartinez@email.com;;
lsanchez;Alu_2581;Luis;Sanchez;lsanchez@email.com;600000005;ESTUDIANTE
c_perez;Adm_3692;Carmen;Perez;c_perez@email.com;600000006;ADMIN
jgomez;Prof_4703;Jose;Gomez;jgomez@email.com;;PROFESOR
infer nandez;Est_5814;Isabel;Fernandez;ifernandez@email.com;600000008;ESTUDIANTE
aruiz;Uni_6925;Antonio;Ruiz;aruiz@email.com;;ESTUDIANTE
mdiaz;Sec_7036;Marta;Diaz;mdiaz@email.com;600000010;PROFESOR
j_alvarez;Alu_8147;Javier;Alvarez;j_alvarez@email.com;;
r_moreno;Est_9258;Rosa;Moreno;r_moreno@email.com;600000012;ESTUDIANTE
fjimenez;Adm_1036;Francisco;Jimenez;fjimenez@email.com;600000013;ADMIN
amunoz;Prof_2147;Alicia;Munoz;amunoz@email.com;;PROFESOR
r_romero;Est_3258;Ricardo;Romero;r_romero@email.com;600000015;ESTUDIANTE
msanz;Uni_4369;Monica;Sanz;msanz@email.com;;ESTUDIANTE
dtorres;Sec_5470;David;Torres;dtorres@email.com;600000017;PROFESOR
v_suarez;Alu_6581;Victoria;Suarez;v_suarez@email.com;;
acano;Est_7692;Alberto;Cano;acano@email.com;600000019;ESTUDIANTE
egil;Adm_8703;Elena;Gil;egil@email.com;600000020;ADMIN
p_marín;Prof_9814;Pablo;Marin;p_marin@email.com;;PROFESOR
bdiez;Est_1111;Beatriz;Diez;bdiez@email.com;600000022;ESTUDIANTE
j_rubio;Uni_2222;Jorge;Rubio;j_rubio@email.com;;ESTUDIANTE
s_ortega;Sec_3333;Silvia;Ortega;s_ortega@email.com;600000024;PROFESOR
fmorales;Alu_4444;Felipe;Morales;fmorales@email.com;;
m_vazquez;Est_5555;Manuel;Vazquez;m_vazquez@email.com;600000026;ESTUDIANTE
p_castro;Adm_6666;Paula;Castro;p_castro@email.com;600000027;ADMIN
agutierrez;Prof_7777;Andres;Gutierrez;agutierrez@email.com;;
rlozano;Est_8888;Raquel;Lozano;rlozano@email.com;600000029;ESTUDIANTE
c_blanco;Uni_9999;Carlos;Blanco;c_blanco@email.com;;ESTUDIANTE
m_navarro;Sec_1212;Mercedes;Navarro;m_navarro@email.com;600000031;PROFESOR
j_molina;Alu_2323;Julian;Molina;j_molina@email.com;;
s_delgado;Est_3434;Sara;Delgado;s_delgado@email.com;600000033;ESTUDIANTE
f_ortiz;Adm_4545;Fernando;Ortiz;f_ortiz@email.com;600000034;ADMIN
m_marquez;Prof_5656;Margarita;Marquez;m_marquez@email.com;;
j_vidal;Est_6767;Jordi;Vidal;j_vidal@email.com;600000036;ESTUDIANTE
i_medina;Uni_7878;Irene;Medina;i_medina@email.com;;ESTUDIANTE
a_asensio;Sec_8989;Adrian;Asensio;a_asensio@email.com;600000038;PROFESOR
m_vega;Alu_9090;Marina;Vega;m_vega@email.com;;
l_ferrer;Est_0101;Lorena;Ferrer;l_ferrer@email.com;600000040;ESTUDIANTE
p_garcia;Adm_2323;Ramon;Garcia;rgarcia@email.com;600000041;ADMIN
v_vicente;Prof_4545;Vanessa;Vicente;vvicente@email.com;;
j_mendez;Est_6767;Jose;Mendez;jmendez@email.com;600000043;ESTUDIANTE
c_pascual;Uni_8989;Clara;Pascual;cpascual@email.com;;ESTUDIANTE
m_herrero;Sec_1010;Marcos;Herrero;mherrero@email.com;600000045;PROFESOR
l_hidalgo;Alu_3030;Lucia;Hidalgo;lhidalgo@email.com;;
a_montero;Est_5050;Angel;Montero;amontero@email.com;600000047;ESTUDIANTE
i_iglesias;Adm_7070;Ines;Iglesias;iiglesias@email.com;600000048;ADMIN
j_gimenez;Prof_9090;Jesus;Gimenez;jgimenez@email.com;;
s_vargas;Est_1111;Sandra;Vargas;svargas@email.com;600000050;ESTUDIANTE
